,level_0,index,lemmatized,label
45,45,135,friendly argument changing room whether use bleach treat skin infection asked actual medical doctor recommends said medication recommends patient personally deal heating spoon stove red hot burning away another funny someone suggesting hit leg arm stick cause muscle hypertrophy,bjj
46,46,1392,hey looking help buying rashguard short tatami since return super easy germany back uk warehouse wanted information pound kg foot following size guide short rashguard need buy rashguard could fine size tight thinking buying l short reason powerlifting hip glute often time big maybe someone give recommendation based experience,bjj
47,47,1180,clip beginner training group white belt purpose game person start straight ashi goal tap straight ankle lock person escape breaking entanglement rotational slipping knee line attacker must reentangle escape game live resistance lengthly explanation step step instruction game inspired coach greg souders standard using nonlinear pedagogy methodology entanglement game,bjj
48,48,727,joined gym usually warm jog basic roll shrimp situps pushup getting technique drill well yesterday guy four year old lobby needed bathroom kid ran mat warming owner blew gasket made u stay class suicide pushup situps think guy denied water carried away paramedic keep coming gym think might refund call credit card company,bjj
49,49,553,today positional sparring closed guard feel went hard borderline spazzy something back head want coach watching constantly impress coach something feel force try good front coach deep matter kind hybrid question vent le spazzy still trying win roll stop thinking impressing coach,bjj
50,50,1239,keep buying online instruction best strategy consume feel best strategy drilling partner drill move possible currently schedule feel watching instruction alone helping may watch instruction per month watch thoroughly,bjj
51,51,347,love god gym mix competition class gi beginner creates mess zero mat space segregation inability properly learn scamming member,bjj
52,52,1280,looking opinion month white belt dabbled bit covid yet pull single technique escape learned class live hate going class smashed side control mount north south literally tapped time round smaller female started week guy way self defense clearly suck used box thinking picking people destined awful grappling matter,bjj
53,53,1123,hey happy officially part r longer post later wanted integrated community lurking since white belt train joao gabriel rocha dallas texas team alliance training year year old,bjj
54,54,731,amp x b processing img zn ba episode mayn idea podcast live spotify apple youtube feature mr benjamin chen guest bio benjamin chen leader business technology management led due diligence acquisition helped raise million investment capital mr chen worked external entrepreneur residence jp morgan mission venture acted advisor new business model technology ge capital hold black belt discipline tae kwon hapkido advance support show come every tuesday platform abe spotify youtube apple,bjj
55,55,336,cool submission hard time finishing spiritual moment played clip head khabib telling islam put right leg head brada guy tapped cool tip keep hitting submission,bjj
56,56,1565,seen wrestler make blue belt month judoka black belt take twice long,bjj
57,57,1090,gym beginner white belt class advanced class blue white belt great rarely lost round class competition blue belt advanced class actually awful common new blue belt absolutely obliterated used rolling white belt,bjj
58,58,155,recovery suppliments guy taking taking bcaa supplement caffeine making feel jittery best taking night looking option le side effect train usually time week male,bjj
59,59,640,given position start largest animal could kill rear naked choke personally feel could kill trophy sized white tail deer solid body triangle good squeeze think game deer,bjj
60,60,343,make morning class dueto work schedule earlier better trained p ago nothing bad say looking something different,bjj
61,61,758,hey name eric long time sherdog lurker well teen post comment wanted start conversation experience growing around sport hear thought opinion newer generation putting mean cole abate lol however trained since young homeschooled time competing frequently well big part life sure many say,bjj
62,62,1143,issue getting leg arm wrap arm inside leg create angle think leg short tight enough squeeze,bjj
63,63,201,suffering minor whiplash received outside training almost month shit suck started september sick handful time since taking mat nothing long venting hoping hear else kind going right,bjj
64,64,1038,often read argument gi hurt finger lapel guard slow wanted motivates people train gi train nogi moment gym nogi class area blame instructor tried nogi class nobody besides came train pure loss money ideally healthy gi nogi love however gi better,bjj
65,65,416,strangling windpipe blatantly illegal rule around surrounding mixed martial art never seen competittion assume people never even think,bjj
66,66,478,called false true reap move work whatever,bjj
67,67,248,sad james tomlinson bulletproof podcast fun hour conversation covered ton strength related topic chapter link processing img vh ax iun ia chapter intro barefoot strength training strength flexibility competing brazil game plan competition destiny james origin story wolfy psychopath keep training craig jones tap bro low consistency quitting ufc buy adcc ufc v pride connor mcgregor james tainan dalpra conspiracy link spotify apple podcasts youtube amp x b listening abe,bjj
68,68,1096,hello guy working alot back attack lately since huge gap game run issue mostly answer submeta great member running super annoying counter find good answer nowhere situation force turtle position let u say side control going seat belt working hook nearside opponent take top arm seatbelt pull mat mobility attack dead way establish hook pulled shoulder stuck mat settle bottom half guard basically guy bigger even pop hip thrown still arm crossed good lost back opinion countering feel missing something obvious wrap head around os,bjj
69,69,169,guy training year purple belt seminar couple week ago shoutout surprised stripe blue fair train two day literally monday saturday getting lot mat hour total blue belt year close mat hour thing yeah life problem guy gym since inception think even helped open gym financially seemed bitter getting purple blue year relevant pretty much train month usually easy let work probably honestly think suck haha anyway since belt mad dogging mat close friend crush said trying arrange death match literally every purple belt planet seem fair fight,bjj
70,70,1186,long story short brand new white belt guy former wrestler sort guy u want learn new takedown asked show suplex willing super nice guy keep mine smaller female around pretty big dude around muscular jokingly told suplex hard already discussed full speed could see feel ask specific detail coach internationally competitive sambo guy started screaming made guy roll beat shit poor guy scared interrupt coach wrestler guy offered roll ever since totally bummed great training partner learned lot feel whole thing fault,bjj
71,71,1124,hey happy officially part r longer post later wanted integrated community lurking since white belt train joao gabriel rocha dallas texas team alliance training year year old,bjj
72,72,720,apparently high percentage frankly find much opportunity triangle arm bar arm bar mount never landed except weird accidental one give triangle opportunity jolly good fellow good thing happen word mother team support view poll,bjj
73,73,899,thing legit non legit please inform mind people train draw line people think karate despite limited knowledge art nothing,bjj
74,74,499,finished another article technique time z lock become much popular last month check locked z lock amp x b hitting z lock set,bjj
75,75,235,move season talking tainan gator roll back take remember brown belt believe match done stocky dude remember correctly think pas guard side rather changing direction chase back tainan tried search copa podio youtube channel without name bit complicated remembers anything information might help find,bjj
76,76,1133,ok seminar gym last night well black belt high degree came seminar hour coach coach another state seminar promotion ceremony coach gave black belt brown belt blue belt promoted stripe went seminar received either stripe new belt promotion gym big mean another guy talking ceremony damn lot people getting black belt tonight normal seminar seminar instructor wanted buy patch branded gear unreasonable price come gym promotion usually happen year felt paid money seminar paid promotion many guy train promotion weekend felt excessive normal gym people seminar,bjj
77,77,1399,strange phenomenon newly bleached blue belt popping every week,bjj
78,78,737,went first class proper gym nowhere told pushup continue quite unfit took long time asked training partner expected every class said guy drank water bottle allowed class someone pushup seemed weird normal always taught hydrating sport important,bjj
79,79,1025,minor tear meniscus month back ever since worried standing wrestling tore friend tried hip throw leg caught somehow knee fine still hurt bit click probably psychological click since non athletic friend clicking knee pain reckon enough strength training leg else similar issue overcome last comp tried take guy felt baiting immediately pulled guard used wrestle way till try back believe lack confidence psychological physical perspective think,bjj
80,80,730,recent influx high level judo player getting pretty scary roll due explosiveness compare average black belt experience,bjj
81,81,18,else feel school getting little hand contract pricing especially live area lot school lot whole lot accolade justify charge learning roger gracie feel month fair someone naga purple belt class end learning student black belt even vacation family month membership fee proliferation online content deep feel happiest training school belt promotion able sign tournament dilemma whole thing starting feel scam rant,bjj
82,82,176,blue belt month roll w high level guy time promoted fundamentally sound defensive player getting blue belt felt given permission start working offensive cycle moved danahers escape series giles half guard series closed guard started able remember accomplish instructor advanced offensive technique mid day class advanced guy train fun smashed lot learn alot well yesterday went usual weekend class saw guy promoted smashed mean minute domination hammer guy top transitioning various threatening dominating position partner struggled pressure lb felt good see progress tomorrow pm class smashed learn alot,bjj
83,83,561,r currently research average time take belt mind filling completely anonymous survey email collected even require sign anything,bjj
84,84,331,title pretty much say choked today rolling heard felt pop throat trachea hurt slightly concerned,bjj
85,85,349,wife moving seaside monterey area soon looking nearby mma gym train workout little googling found gym called reality fitness website seems little questionable say yet open offering month contract dollar month anything else gym coach website meet team listed seem experience whatsoever mma training random people degree unrelated mma training mean even realtor first glance almost looked scam info familiar gym coach much appreciated,bjj
86,86,646,gym marrakech take drop day try tourism,bjj
87,87,342,joined gym promote slower come lower belt tap imposter proudly wear belt demoted,bjj
88,88,1467,instructionals changed game entirely catch guy gym earned gold comp made reach next belt,bjj
89,89,1495,caught new gym today funky little foot lock back control laugh absolutely love dirty tricky jitsu going sub sub matter favorite dirty sub,bjj
90,90,565,hey looking costa rica week ish april may decided costa rica stay planning finding gym roll recommendation gym link gym info well e g instagram website fb page currently debating tamarindo nosara jaco since able surf well good option town please let,bjj
91,91,973,done seminar past trouble remembering learned allow take video either always forget take note forget learned never done private professor mind learn smaller stature fit size advantageous choose seminar private,bjj
92,92,668,undergo fai surgery fix laberal tear plus sort pincer cam month later pincer cam sorted leg month period fix hip done able offer advice guidance long take back training,bjj
93,93,389,today purple belt completely unexpected contention world shittiest purple belt started losing hair bring hear story imposter syndrome dumb shit still known better victory_hand,bjj
94,94,378,work schedule crazily busy week day probably spend min week day night basement drill dummy class openmat weekend looking something basic long hold limb fine figure flow move drilling class recommdation,bjj
95,95,714,title say mine around hour minute took day rest recover guy,bjj
96,96,831,reasoning behind school student u bald middle aged white dude virtually u hate understand reasoning love school let infuriate people sub though,bjj
97,97,1477,hey white belt studying half guard religiously seeing real improvement getting great feedback training partner think come next adding long range guard seems make sense short leg good long range guard study work gi half fit body work gi gi follow master guard,bjj
98,98,164,started month ago starting dream regular base gritty situation use move kick someone as save girlfriend mean guy embarrassing tell haha kind revelation else dreaming share funny dream,bjj
99,99,1365,avoid half guard deep half anything else,bjj
100,100,479,thinking incident happened couple day ago coach going demonstration basically lying belly forearm demonstration trying watch coach blue belt stripe come talk tell disrespectful position demonstration never talked coach bad etiquette unspoken rule context white belt stripe,bjj
101,101,945,check recent post seminar amp x b seminar next day make drive bon aire ga visit rd degree black belt ufc veteran million fight former american top team teammate cole miller hosting marcelo third seminar amp x b left marcelo insisted take picture front academy glad excited visit student seminar completely forgot picture always cherish ironic always try pic u together social medium student mattered ie front academy completely forgot amp x b going georgia hour drive hometown gainesville fl flew quickly marcelo lot talk even though friend ever since st year friendship lived far apart always awesome catch especially true life hawaii although still see amount x year seem cherish time little bit since physically located furthest ever amp x b georgia met cole miller first time ever met nice welcoming person treated several meal treated brother throughout two day together apparent different political spectrum although talk find boring fruitless debate politics continued remind dems republican accept treat kindness tolerance amp x b first meal sushi place cute waitress became apparent dad trained cole flirting limit conversation awesome cole marcelo recounted time spent training fighting mma amp x b marcelo mentioned time melvin manhoef youtube amazing striker asked spar marcelo figured destroyed pleasantly surprised melvin took easy gave pointer sparring amp x b marcelo talked fight game shady fight camp month kept cancelling opponent last minute even though mma offered mach sakurai nick diaz opponent interestingly marcelo excitedly agreed match organization cancel last minute amp x b first fight promised matched someone weight experience fighter cancellation matched lb record marcelo competes adcc think mma weight class lb amp x b fight suffered kick head maybe knee opened gash head required stitch fight hospital met long time fight veteran carlos newton gotten ko event carlos insisted looking marcelo cut marcelo lifted bandage show hoping carlos offer wise word comfort instead carlos recoiled said worst cut ever seen mma career amp x b interestingly enough dog sitting apartment fight occurred korea took place hour time difference staying late laptop constantly refreshing page sherdog live play play first round taken opponent back figured moment screen refreshed say tapped happen fight stopped cut automatically assumed screwjob hometown fighter back huge pride fc fan number instance happened sakuraba fight asked later bad call mentioned ready keep fighting completed blinded blood fact take stitch close cut amp x b mention fight banned use vaseline fight organization still living huge controversy previous fight akiyama defeated sakuraba ruled contest sakuraba complained akiyama greased fight could taken thus without vaseline much easier cut much harder stop cut well amp x b fight organization knew marcelo unique talent promised monthly training living stipend take away couple month think might contributed opening florida academy couple year pembroke pine height mma training month fight camp running academy teaching every night amp x b trained lot people att main training partner masvidal thiago silva jt calvalcante awesome train instance people try ko training training standup since frustrated practiced ground portion amp x b end mma career came month hard training training hard nick diaz suddenly told fight still take place lose agreed upon purse since mma organization think k hero way lost huge sponsorship point marcelo figured back love amp x b mentioned year training mma nonstop american top team tough rough body never turned round evidenced agreeing spar melvin manhoef lol grew increasingly concerned training might break body eventually could anymore future amp x b delicious meal fun conversation getting late cole belt promotion back hotel room rested bit keep mind marcelo back still sore wanted seminar next day amp x b bit left cole marcelo wanted support student promotion great see couple student promoted even black belt awesome see nice surprise marcelo attend promotion amp x b afterwards cole graciously took u dinner burger fantastic back rest next day shooting gun range seminar,bjj
102,102,692,crazy video guitar center employee taking thief choking back else see find post sub,bjj
103,103,1519,hello new grappling train time day weekday weekend hour schedule follows monday friday pm pm saturday pm occasional pm sunday pm compete training month day,bjj
104,104,1578,idiot briefly dated instructor pursued hard male student encourage ask policy asking student finally super nervous figured serious getting willing date student new gym shortly started intimacy cue new female student time anymore busy growing gym competing extra tip help getting class gone going new girl instructor even anymore avoid rolling fool canceled membership clear lack professionalism ruined honeymoon phase free trial another gym soon escape back another face another student lesson learned,bjj
105,105,1574,writing article martial art cake idea particular original pic,bjj
106,106,187,first comp yesterday make excuse friday worst stomach thing ever lost lb hour great weight cutting guess needle say optimal condition feeling okay worked hard prep meaningless tournament wanted big gym size two guy weight class outweighed least lb first guy somehow year white belt flat overpowered made end round though second guy actually little better tapped puke bathroom blaming loss recovering sick certainly help think roll around size discouraged loss tip learn deal big guy without rolling big guy,bjj
107,107,1410,event organizer either thought legal match better versed ruleset jump,bjj
108,108,1524,trained month crappy gym show u move roll afterwards always submitted even though thought norm switched gym new gym actually warm ups break fall etc actually certain position mount side control etc better crappy gym always leave find better,bjj
109,109,500,coach use none critique much demonstrating drill technique allow student play however feel without much correction feel make many correction student become confused coaching input,bjj
110,110,754,tomorrow working london day staying night near tower bridge hoping drop somewhere close staying preferably walking distance recommendation,bjj
111,111,1415,typically effective establishing collar sleeve gi general sweeping purpose gi however trying grip without much success find reaching ankle dlr hard front hook loose shin shin difficult find angle elevate effectively opponent able blast knee cut general beyond learning scoot different direction tip position prevent getting blasted knee cut,bjj
112,112,1463,seeing thing white belt wednesday every week feel need iterated seems people start training month think ok getting stuck side control getting guard passed whatever feel bad training partner practice simple escape trying experience keeping passing guard whatever matter rep sure case stripe brand new guy athletic freak cut butter feel bad either control walk door start training perspective shit take year,bjj
113,113,931,let u face vast majority u even practice judo hour week let alone full time may busy day job may family obligation whatever reason try find way judo busy episode shintaro peter talk way stay engaged judo without going dojo time please support u patreon amount help listen episode following link shintaro blog apple podcasts spotify youtube google podcasts anchor,bjj
114,114,625,hey ft weight kg pound done since trying figure game slowly trying different thing starting understand small game point learned stay top let control neck use speed right tech drill tech work stuck big heavy guy slow wait reaction exploit understand transition well execute speed sweep work big guy grip everything jumping guard movement easier understand opponent use brain much decipher crafty sneaky sub work best small guy wanted share feel helped game else tip disagrees love,bjj
115,115,1134,better winning scramble putting pressure rather submitting opponent short stocky rex darces triangle never worked made people cardio tap suck submission finish,bjj
116,116,1190,many people quit blue belt many people return point seen higher rank gym make comeback significant time,bjj
117,117,1356,serious question best ufc lot people say charles olivera still think gilbert burn even though gilbert sudden want start brawling lol best ortega,bjj
118,118,926,breakoff piggyback another thread wanted let fellow white blue belt speak frustrates new belt upper belt giving position starting roll lay waiting side control understand might trying help giving dominant position something feel dominated beat man pain,bjj
119,119,121,may opportunity move gym space starting blank slate term layout love hear folk think school right term layout amenity wish e g compared school glad toilet change clothes big mat area waste space opinion site shower laundry vending machine etc spectating area laid perfectly right inside front door perfectly located shoe jacket bag wish handled advance idea,bjj
120,120,679,honestly felipe decent gave stalled gordon passing minute much lot others able absolutely dominated start finish besides nicky rod make gordon human impressive ot felipe atos camp seems lifting lot maybe spice thing overall going take felipe make somewhat close even win matter,bjj
121,121,634,interested working customised gi mma short muay thai short gi rash guard stuff discus furthure work individual brand work service provider manufacturer interested collab let u thank,bjj
122,122,1587,started month back new guy joined maybe bit le month put together roll guy aggressive whole point wait stand normally without stance tried grab push leg trip ended tripping ground make pissed noise good position kept making face seemed pissed mind thought funny share,bjj
123,123,641,yuri simoes recently moved neck wood teach general sentiment adcc performance boring blah blah blah care looking review coach good idea happens next adcc disappear six month camp caio,bjj
124,124,185,venting bit see time time reffing kid match tiresome temper flair people argue lot stake kid biggest issue see kid match parent coach arguing ref stoppage due submission care tell competing year stopping match armbar start belly kid match care think student telephone defense americana whatever kid shoulder look going unnatural position stopping match,bjj
125,125,654,getting much considering switching stuck better judgment something stupid happend choice clear wait something stupid happen trust gut,bjj
126,126,681,distill idea simplified purest understanding think top bottom player primary goal course understanding threat submission constant,bjj
127,127,618,coach told play bottom half always keep back knee way back step catch leg catch leg honey hole full ace leg access make sense top half back step trying honey hole position every time partner us momentum stepping back sweep onto as come top give going wide,bjj
128,128,1183,ryan hall released back attack instructional follow course following year regarding submission obtained back considering getting since mma guy first wanted guy thought seeing know non peerchecked comment stranger nothing lose spreading misinformation best way accurate opinion something think,bjj
129,129,456,os friend tend train head gear ear way time drained many time already buy cliff keen headgear europe lot,bjj
130,130,663,currently phuket trying training timing class travel kid breakfast dinner etc etc proving hard drop open mat roll,bjj
131,131,1340,personally believe coolest gi seen following arm bar soap company shame missed curious gi guy think awesome,bjj
132,132,1406,last competition round finished round robin format forearm cooked felt lot sharp pain difficult handle competition setting help mitigate prevent happening thinking grip focused warm reducing adrenaline spike maybe even gripping le force comp hard,bjj
133,133,677,joined new gym month ago extremely attractive girl go drop dead gorgeous make heart beat fast glance felt piercing gaze time literally freeze slight glimpse mind second attempt avoid nervous around loved uke meant allowed stare general direction liked well spent night thinking dreaming even checked linkedin bitch slapped reality asked wanted roll red visibly uncomfortable awkwardly redirected request someone near continued everything hit talking nervous talking acted creep brief exchange inevitable love story nice coincidence see week learned schedule actively avoiding feel horrible ike idiot knew average average attractiveness known could possibly going make point better staring hot girl case read attending monday wednesday friday saturday week,bjj
134,134,490,missed something hwyel commentating flo stream euro thought fired,bjj
135,135,689,check back square keep memory friend make along way someone else aquired move,bjj
136,136,362,training almost year far problem ear day ago however went home itchy red hot ear today hurt time still slightly red big constant pain hurt bit touch however even little swollen question cauliflower ear develop ear swollen put mind ease love sport cauliflower ear way drain ear severe trypanophobia fear syringe,bjj
137,137,942,happy holiday folk amp x b festivity trying explain relative darn addictive basically came probably overlapping idea amp x b constantly solving ever changing puzzle time opponent wait may compare playing chess although rather compare bullet chess heavily rely instinct make split second decision although conscious mind know real danger subconscious mind probably think life line produce think adrenaline rush hard find anywhere else except extreme sport bungee jump similar speaking play fighting think many animal especially mammal evolved kind activity picture cat dog lion goat etc guess human basically although society gone step away direction hardwired activity proof could ancient culture sort martial art fighting tradition rabbit hole go deeeeeep could spend year studying particular position submission may feel daunting people right mindset mean never run thing study train good physical exercise always feel good almost immediate objective feedback painting spend week painting something opinion learn new armbar setup tap analyze reason behind failure try fix try tap abandon move creates unique feedback loop amp x b anyhow thought make addictive besides smashing lower belt amp x b cheer,bjj
138,138,1590,cutting kg next tournament still month food eating getting kind boring wondering someone tip dish share,bjj
139,139,1349,team zero drilling resistance training three black belt gold last nogi pan footage member amazing coach greg souders amazing shit practice instagram,bjj
140,140,900,pretty flexible definitely morning person weekend morning open mat clicking clacking scp training partner hear sometimes stop roll ask okay crepitus gang rise,bjj
141,141,866,wear headgear ear ever seen wear practicing knee pad shooting rash guard needed shirt athletic short ok gi average price range monthly gym fee many class hour usually include thank time knowledge,bjj
142,142,826,academy renzo affiliate stripe blue belt view poll,bjj
143,143,415,nope line work roll expensive laundry soap guy mexican hair gel guy patrolli weed guy strange musk guy sock guy matter come saturday open mat old wrestle shoe killer day going remember name real american hero saluting_face,bjj
144,144,775,particular number bathroom shower trying select gym going regularly train good number,bjj
145,145,153,white belt maybe month noticed time attempt something sometimes fully commit example today drilling x guard sweep takedown situation sparring x guard attempted sort wrestle point kind stopped half way conceded coach instantly said going start wrestling need commit another time rolling someone standing time attempted takedown grabbed leg let instantly said good grabbed heel committed let instead noticing tendency commit move convince instantly fail move otherwise execute well instance better avoid think thinking anyway tip committing executing move confidence,bjj
146,146,211,always looking new jam gym thought share recent discovery learycal dude make grapple rap league cool listen music culture well done good thing think way popular sub learycal,bjj
147,147,337,hello white belt little month train day per week always open mat learning lot progressing pretty fast week instructor promoted blue belt however feel truly deserve blue belt yet mean feel great hard work dedication recognized game gotten lot better think month appropriate amount time promoted wrong trust instructor judgment absolutely thrilled blue belt even told coach feel deserved said nonsense feel ready earned blue belt always thought take least year promoted blue belt wanted think feedback greatly appreciated,bjj
148,148,1572,f rule opponent keep dominant position second point example playing guard let opponent side back control mount try escape second sure may lose advantage handicapping little master certain skill help lot especially competition hear method master basic,bjj
149,149,1357,sort long term plan put month etc efficient progressive teaching,bjj
150,150,345,training year never issue month ago train couple time week fun enjoy learning something new love post sparing feeling basically recently drilling kind choke usually start feeling vomit almost gag reflex last second even switching try execute choke still feel part managed pretty subtle honestly started forward training ask people put choke properly drill especially bad ideal training partner extra context eating drinking near training eat light lunch maybe pm ish train pm experienced tip overcome seen similar post seems sick feeling due exertion always drilling sparing blame exertion,bjj
151,151,1335,curious knew coming caught surprise saying think ready add another year good story,bjj
152,152,1527,friend brown belt discussing red bar look much better black could website custom made based uk tia,bjj
153,153,905,hello amp x b past month good success using danahers single chest wrap arm triangle series finger walk ratchet single arm towards head pas either smother arm triangle team mate last session managed hand gap torso kind disrupts whole motion arm controller single chest wrap seen danaher cover looking idea stop counter top head thinking tilting body crossface narrow gap hand fir torso keeping knee high side,bjj
154,154,644,title say looking competitor using collar spider tarantula guard highest level romulo barral dominic bell seems guard else bonus point active competitor,bjj
155,155,1053,used think p hipster ear plug rash guard stupid name technique ever since john danaher became household name every white belt champion muscle bound douche canoe refer every technique submission japanese name going holy shit hear another year old competitor tell ashi dori nijugarami followed going hang purple belt,bjj
156,156,277,entering body lock hard even opponent flat butterfly sweep,bjj
157,157,113,hey looking gain new insight highly recommend checking top best book whether beginner advanced something check,bjj
158,158,1418,favorite teacher love learn gi submission guess instructional right,bjj
