,id,Tranc_YearMonth,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,Tranc_Year,Tranc_Month,mid_storey,lower,upper,mid,full_flat_type,address,floor_area_sqft,hdb_age,max_floor_lvl,year_completed,residential,commercial,market_hawker,multistorey_carpark,precinct_pavilion,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,postal,Latitude,Longitude,planning_area,Mall_Nearest_Distance,Mall_Within_500m,Mall_Within_1km,Mall_Within_2km,Hawker_Nearest_Distance,Hawker_Within_500m,Hawker_Within_1km,Hawker_Within_2km,hawker_food_stalls,hawker_market_stalls,mrt_nearest_distance,mrt_name,bus_interchange,mrt_interchange,mrt_latitude,mrt_longitude,bus_stop_nearest_distance,bus_stop_name,bus_stop_latitude,bus_stop_longitude,pri_sch_nearest_distance,pri_sch_name,vacancy,pri_sch_affiliation,pri_sch_latitude,pri_sch_longitude,sec_sch_nearest_dist,sec_sch_name,cutoff_point,affiliation,sec_sch_latitude,sec_sch_longitude
234,61958,2021-04,QUEENSTOWN,5 ROOM,50,C'WEALTH DR,16 TO 18,114.0,Improved,2015,999000.0,2021,4,17,16,18,17,5 ROOM Improved,"50, C'WEALTH DR",1227.096,6,40,2013,Y,N,N,N,N,278,0,0,106,133,39,0,0,0,0,0,0,0,142050,1.301129092,103.797123,Queenstown,1075.265163,,,6.0,69.61347576,2.0,4.0,10.0,28,89,211.4259316294772,Commonwealth,0,0,1.302083048,103.7987682,34.91009827332776,Blk 50,1.30097055597804,103.7968519439962,348.2374321538333,New Town Primary School,82,0,1.299811388,103.7999648,516.5747057767868,Queensway Secondary School,214,0,1.300475167,103.8017236
269,67125,2015-09,WOODLANDS,EXECUTIVE,808,WOODLANDS ST 81,10 TO 12,189.0,Apartment,1994,798000.0,2015,9,11,10,12,11,EXECUTIVE Apartment,"808, WOODLANDS ST 81",2034.396,27,12,1985,Y,N,N,N,N,72,0,0,6,6,0,60,0,0,0,0,0,0,730808,1.44228124,103.7869156,Woodlands,692.1190477,,2.0,6.0,1091.025481,,,3.0,52,112,577.7732932257122,Woodlands,1,1,1.437094408,103.7872249,31.506033631211903,Blk 808,1.44256309213662,103.78694461350948,160.6457002839585,Qihua Primary School,48,0,1.442035966,103.7883398,205.05733424488864,Riverside Secondary School,230,0,1.441077949,103.7883135
309,128014,2016-04,TOA PAYOH,5 ROOM,122,LOR 2 TOA PAYOH,07 TO 09,124.0,Improved,1999,810000.0,2016,4,8,7,9,8,5 ROOM Improved,"122, LOR 2 TOA PAYOH",1334.736,22,20,1998,Y,N,N,N,N,168,0,0,0,91,77,0,0,0,0,0,0,0,310122,1.33980524,103.8462812,Toa Payoh,846.9149137,,1.0,4.0,246.4218666,2.0,5.0,7.0,40,108,142.35067853901282,Braddell,0,0,1.341078755,103.8464118,73.90636883481913,Blk 121,1.33918030742933,103.84650759525915,313.2740934072749,Kheng Cheng School,75,0,1.337407636,103.8477611,679.7837189222632,Beatty Secondary School,211,0,1.341790511,103.85206490000002
358,89246,2017-11,QUEENSTOWN,4 ROOM,28A,DOVER CRES,22 TO 24,95.0,Model A,2012,795000.0,2017,11,23,22,24,23,4 ROOM Model A,"28A, DOVER CRES",1022.58,9,40,2009,Y,N,N,N,N,204,0,0,0,126,78,0,0,0,0,0,0,0,131028,1.304915957,103.7821881,Queenstown,698.6433978,,2.0,4.0,960.7227765,,1.0,7.0,72,158,837.5767698013983,one-north,0,0,1.299035627,103.7868968,125.68620174868089,Opp Acs Independent,1.30515500002931,103.7810830559728,601.1137289656176,Fairfield Methodist School,32,1,1.300798691,103.7856922,411.8778250293808,Fairfield Methodist School,241,0,1.301920884,103.7843681
371,28091,2015-03,KALLANG/WHAMPOA,3 ROOM,53,JLN MA'MOR,01 TO 03,280.0,Terrace,1972,1060000.0,2015,3,2,1,3,2,3 ROOM Terrace,"53, JLN MA'MOR",3013.92,49,2,1959,Y,N,N,N,N,8,0,0,8,0,0,0,0,0,0,0,0,0,320053,1.328278539,103.8560974,Novena,1072.225651,,,9.0,572.82117,,5.0,11.0,52,112,1036.3951297715316,Toa Payoh,1,0,1.332376442,103.8477238,229.04322719353735,Opp Blk 65,1.32782675894568,103.8581076205424,752.7915894222346,Hong Wen School,48,0,1.321689285,103.8576518,678.0378482693175,Bendemeer Secondary School,188,0,1.324611113,103.8609703
507,169294,2015-07,BUKIT MERAH,5 ROOM,126,BT MERAH VIEW,19 TO 21,128.0,Improved,1996,840000.0,2015,7,20,19,21,20,5 ROOM Improved,"126, BT MERAH VIEW",1377.792,25,25,1995,Y,N,N,N,N,116,0,0,0,0,116,0,0,0,0,0,0,0,152126,1.284606313,103.8232223,Bukit Merah,484.1538071,1.0,1.0,2.0,117.7166943,1.0,8.0,13.0,84,167,438.92114340448336,Tiong Bahru,0,0,1.285764585,103.8269968,177.620917289333,Blk 129,1.28365072319387,103.824502653383,325.5743455433704,Zhangde Primary School,62,0,1.28449822,103.826149,499.7110747547416,Gan Eng Seng School,223,0,1.289071145,103.8237337
535,67938,2020-12,QUEENSTOWN,4 ROOM,91,DAWSON RD,37 TO 39,83.0,Premium Apartment,2016,860000.0,2020,12,38,37,39,38,4 ROOM Premium Apartment,"91, DAWSON RD",893.4119999999999,5,43,2015,Y,N,N,N,N,150,0,2,22,95,12,0,0,19,0,0,0,0,144091,1.29534041095665,103.812585191493,Queenstown,1051.038238,,,5.0,1042.989914,,,11.0,96,48,722.3413253983773,Queenstown,0,0,1.294250313,103.8061795,156.39401667064874,Bef Margaret Dr,1.29668400003303,103.81216918970024,525.5881360975196,Queenstown Primary School,60,0,1.295988446,103.8079019,211.3861471970178,Queenstown Secondary School,188,0,1.2935332940000002,103.8131755
621,61820,2020-09,TOA PAYOH,5 ROOM,139A,LOR 1A TOA PAYOH,10 TO 12,113.0,DBSS,2012,912888.0,2020,9,11,10,12,11,5 ROOM DBSS,"139A, LOR 1A TOA PAYOH",1216.332,9,40,2012,Y,N,N,N,N,237,0,0,19,60,158,0,0,0,0,0,0,0,311139,1.336277758,103.8440449,Toa Payoh,564.2884569,,1.0,6.0,223.9445838,1.0,4.0,9.0,40,108,524.5510874648747,Caldecott,0,0,1.337114855,103.8394011,54.225934365746696,Opp Philips S'pore,1.33640498933489,103.84357399610558,431.79224888810296,Kheng Cheng School,75,0,1.337407636,103.8477611,449.1368666929474,CHIJ Secondary,243,0,1.33246213,103.8427194
631,122905,2017-09,BUKIT MERAH,5 ROOM,126A,KIM TIAN RD,01 TO 03,113.0,Improved,2013,845000.0,2017,9,2,1,3,2,5 ROOM Improved,"126A, KIM TIAN RD",1216.332,8,40,2011,Y,N,N,N,N,214,0,0,0,136,78,0,0,0,0,0,0,0,161126,1.282856548,103.8294964,Bukit Merah,476.9293007,1.0,1.0,7.0,383.7117319,2.0,5.0,18.0,83,259,426.3501261511584,Tiong Bahru,0,0,1.285764585,103.8269968,71.65707284950662,Blk 126 CP,1.2825992459880502,103.82890541983912,414.4834732129568,Zhangde Primary School,62,0,1.28449822,103.826149,929.2630556466328,Outram Secondary School,188,0,1.286387486,103.8370728
637,169618,2017-06,QUEENSTOWN,5 ROOM,12,DOVER CL EAST,07 TO 09,117.0,Standard,1978,800000.0,2017,6,8,7,9,8,5 ROOM Standard,"12, DOVER CL EAST",1259.388,43,25,1977,Y,Y,N,N,N,96,0,0,0,0,96,0,0,0,0,0,0,0,130012,1.304992003,103.7858075,Queenstown,297.292882,2.0,2.0,3.0,725.6979485,,2.0,7.0,72,158,592.2077210543122,Buona Vista,0,1,1.307197257,103.7906566,247.43391107517635,Aft Anglo-Chinese JC,1.30418279677397,103.78788091438992,466.4511569159458,Fairfield Methodist School,32,1,1.300798691,103.7856922,377.1225103299262,Fairfield Methodist School,241,0,1.301920884,103.7843681
710,60128,2018-03,BUKIT MERAH,4 ROOM,80C,TELOK BLANGAH ST 31,34 TO 36,93.0,Premium Apartment,2013,860000.0,2018,3,35,34,36,35,4 ROOM Premium Apartment,"80C, TELOK BLANGAH ST 31",1001.052,8,38,2011,Y,N,N,N,N,140,0,0,70,70,0,0,0,0,0,0,0,0,103080,1.273494356,103.8072294,Bukit Merah,652.8579868,,1.0,6.0,50.45246404,2.0,2.0,9.0,40,0,425.7740544347966,Telok Blangah,0,0,1.270734786,103.8098846,92.2220568390229,Telok Blangah Mkt/FC,1.27291305557456,103.8078211111249,332.3737842828435,Blangah Rise Primary School,36,0,1.276130304,103.8086392,1516.3706365357384,Bukit Merah Secondary School,189,0,1.285751537,103.8132084
723,181656,2017-04,SERANGOON,EXECUTIVE,318,SERANGOON AVE 2,13 TO 15,151.0,Maisonette,1985,940888.0,2017,4,14,13,15,14,EXECUTIVE Maisonette,"318, SERANGOON AVE 2",1625.3639999999998,36,15,1984,Y,N,N,N,N,81,0,0,0,0,0,81,0,0,0,0,0,0,550318,1.352840462,103.8671648,Serangoon,574.9111714,,1.0,3.0,1183.281718,,,4.0,46,36,487.6870029336013,Lorong Chuan,0,0,1.351734789,103.8629194,123.771977190756,Blk 319,1.3525850182836598,103.86824850324253,450.28454605389766,Yangzheng Primary School,44,0,1.348972024,103.8683625,508.9670572804757,Zhonghua Secondary School,234,0,1.349097361,103.8698
732,99645,2018-10,ANG MO KIO,5 ROOM,596C,ANG MO KIO ST 52,16 TO 18,110.0,Improved,2002,803888.0,2018,10,17,16,18,17,5 ROOM Improved,"596C, ANG MO KIO ST 52",1184.04,19,28,2000,Y,N,N,N,N,135,0,0,0,81,54,0,0,0,0,0,0,0,563596,1.371935719,103.8501433,Ang Mo Kio,337.0943234,2.0,2.0,3.0,405.9970598,2.0,4.0,9.0,45,78,275.70097395603705,Ang Mo Kio,1,0,1.369464707,103.849939,176.24434320216966,Bef Ang Mo Kio Stn Exit B,1.37137302300723,103.848661116474,185.45950710007563,Jing Shan Primary School,36,0,1.371892676,103.8518111,293.6567298438771,Anderson Secondary School,245,0,1.374242189,103.85143
745,61601,2019-02,TOA PAYOH,5 ROOM,138C,LOR 1A TOA PAYOH,10 TO 12,113.0,DBSS,2012,890000.0,2019,2,11,10,12,11,5 ROOM DBSS,"138C, LOR 1A TOA PAYOH",1216.332,9,40,2012,Y,N,N,N,N,237,0,0,19,60,158,0,0,0,0,0,0,0,313138,1.336264137,103.8449074,Toa Payoh,511.34917,,1.0,6.0,210.0627736,1.0,4.0,9.0,40,108,533.7585838475819,Toa Payoh,1,0,1.332376442,103.8477238,131.23113787037065,Blk 138B,1.33636138602833,103.84608389640736,341.7640992797974,Kheng Cheng School,75,0,1.337407636,103.8477611,487.7390910073026,CHIJ Secondary,243,0,1.33246213,103.8427194
752,62366,2018-07,QUEENSTOWN,4 ROOM,61A,STRATHMORE AVE,10 TO 12,96.0,Model A,2011,785000.0,2018,7,11,10,12,11,4 ROOM Model A,"61A, STRATHMORE AVE",1033.344,10,27,2010,Y,N,N,N,N,180,0,10,26,78,0,0,0,66,0,0,0,0,142061,1.293860989,103.8115839,Queenstown,859.684235,,2.0,5.0,846.5238784,,2.0,11.0,96,48,602.3462750429873,Queenstown,0,0,1.294250313,103.8061795,170.199108520861,Aft Dawson Rd,1.29233498466278,103.81146486767658,472.75858676074,Queenstown Primary School,60,0,1.295988446,103.8079019,180.6458456903985,Queenstown Secondary School,188,0,1.2935332940000002,103.8131755
783,184614,2018-05,ANG MO KIO,EXECUTIVE,615,ANG MO KIO AVE 4,07 TO 09,152.0,Apartment,1996,860000.0,2018,5,8,7,9,8,EXECUTIVE Apartment,"615, ANG MO KIO AVE 4",1636.128,25,13,1995,Y,N,N,N,N,60,0,0,0,0,0,60,0,0,0,0,0,0,560615,1.377463413,103.8391301,Ang Mo Kio,976.5032222,,1.0,2.0,316.8565758,2.0,2.0,8.0,40,84,791.6689250950599,Yio Chu Kang,1,0,1.381960215,103.8446515,128.02640067298023,BET BLKS 152/155,1.37638119735545,103.83952322759048,463.9774707512456,Mayflower Primary School,63,0,1.376398737,103.8431658,310.83709408680727,Yio Chu Kang Secondary School,188,0,1.378263353,103.8418094
827,61421,2017-10,TOA PAYOH,5 ROOM,138B,LOR 1A TOA PAYOH,19 TO 21,114.0,DBSS,2012,900000.0,2017,10,20,19,21,20,5 ROOM DBSS,"138B, LOR 1A TOA PAYOH",1227.096,9,40,2012,Y,N,N,N,N,237,0,0,19,60,158,0,0,0,0,0,0,0,312138,1.336264089,103.8456262,Toa Payoh,478.7776059,1.0,1.0,6.0,229.4794527,1.0,4.0,9.0,40,108,491.1662434425322,Toa Payoh,1,0,1.332376442,103.8477238,52.01721732788207,Blk 138B,1.33636138602833,103.84608389640736,269.2436990469225,Kheng Cheng School,75,0,1.337407636,103.8477611,532.1092198110593,CHIJ Secondary,243,0,1.33246213,103.8427194
851,179304,2021-04,JURONG EAST,EXECUTIVE,286B,TOH GUAN RD,04 TO 06,143.0,Apartment,1998,786000.0,2021,4,5,4,6,5,EXECUTIVE Apartment,"286B, TOH GUAN RD",1539.252,23,21,1997,Y,N,N,N,N,113,0,0,0,0,2,111,0,0,0,0,0,0,602286,1.338577829,103.745138,Jurong East,537.7907627,,4.0,5.0,987.91074,,1.0,2.0,60,87,639.7922504430761,Jurong East,1,1,1.333576523,103.7422924,110.77633518851158,Blk 286A,1.33901303401774,103.7460343930108,677.6026470620457,Yuhua Primary School,65,0,1.3429198180000002,103.7408611,1123.0379500087138,Bukit View Secondary School,205,0,1.3457231509999998,103.7522778
865,59787,2016-11,BUKIT MERAH,4 ROOM,55,HAVELOCK RD,31 TO 33,94.0,Model A,2013,828000.0,2016,11,32,31,33,32,4 ROOM Model A,"55, HAVELOCK RD",1011.816,8,36,2011,Y,N,N,N,N,175,0,0,70,105,0,0,0,0,0,0,0,0,161055,1.290066863,103.8292459,Bukit Merah,453.5368026,2.0,2.0,28.0,229.476821,3.0,5.0,15.0,30,0,539.7879955738567,Tiong Bahru,0,0,1.285764585,103.8269968,89.16486939575469,Blk 79,1.2906068883948798,103.82865297447871,605.4566770522981,Alexandra Primary School,54,0,1.291299035,103.8239408,622.6956976165043,Gan Eng Seng School,223,0,1.289071145,103.8237337
1016,70766,2019-05,CENTRAL AREA,4 ROOM,1B,CANTONMENT RD,43 TO 45,93.0,Type S1,2011,1030000.0,2019,5,44,43,45,44,4 ROOM Type S1,"1B, CANTONMENT RD",1001.052,10,50,2009,Y,N,N,N,N,264,0,0,0,176,88,0,0,0,0,0,0,0,85201,1.277799407,103.8414034,Outram,423.0998962,1.0,4.0,12.0,238.1193792,2.0,7.0,13.0,52,108,522.0217065166798,Outram Park,0,1,1.281604154,103.8386525,83.33145537984907,Bef The Pinnacle@Duxton,1.27854113014976,103.8415105424013,303.57771183398046,Cantonment Primary School,58,0,1.275505441,103.8399227,1069.4374515122483,Outram Secondary School,188,0,1.286387486,103.8370728
1023,148031,2018-03,ANG MO KIO,5 ROOM,588A,ANG MO KIO ST 52,13 TO 15,120.0,DBSS,2011,850000.0,2018,3,14,13,15,14,5 ROOM DBSS,"588A, ANG MO KIO ST 52",1291.6799999999998,10,30,2011,Y,N,N,N,N,145,0,0,0,30,115,0,0,0,0,0,0,0,561588,1.372076889,103.8527861,Ang Mo Kio,564.0767925,,2.0,3.0,197.5881252,1.0,3.0,11.0,50,100,429.5757263915439,Ang Mo Kio,1,0,1.369464707,103.849939,100.5292720736392,Opp Blk 522,1.3727083329713703,103.85213888899418,110.30259016040246,Jing Shan Primary School,36,0,1.371892676,103.8518111,284.0693119451027,Anderson Secondary School,245,0,1.374242189,103.85143
1147,171920,2014-12,MARINE PARADE,5 ROOM,72,MARINE DR,16 TO 18,120.0,Standard,1977,865000.0,2014,12,17,16,18,17,5 ROOM Standard,"72, MARINE DR",1291.6799999999998,44,25,1975,Y,N,N,N,N,96,0,0,0,0,96,0,0,0,0,0,0,0,440072,1.30428357,103.9083649,Marine Parade,374.1704166,4.0,5.0,6.0,308.3843954,1.0,3.0,6.0,55,143,1799.7775051514184,Eunos,1,0,1.319517275,103.9028941,69.87468766971982,Opp Blk 72,1.30461834682389,103.90783296450576,317.9965338568948,Tao Nan School,34,0,1.304631529,103.9112042,1006.9315368361928,Saint Patrick's School,225,0,1.307678422,103.9167622
1224,183314,2017-11,BEDOK,EXECUTIVE,106,LENGKONG TIGA,04 TO 06,154.0,Maisonette,1989,840000.0,2017,11,5,4,6,5,EXECUTIVE Maisonette,"106, LENGKONG TIGA",1657.656,32,9,1988,Y,N,N,N,N,43,0,0,0,0,0,43,0,0,0,0,0,0,410106,1.325088459,103.9100088,Bedok,1830.241429,,,1.0,834.4121548,,2.0,6.0,42,71,565.7063517632921,Kembangan,0,0,1.320929673,103.91294,125.93339081511712,Blk 102,1.32539968158209,103.91109803643086,631.1243384044649,Eunos Primary School,26,0,1.324388358,103.9043748,950.5793522074016,Manjusri Secondary School,188,0,1.327520222,103.901811
1244,178163,2015-05,CLEMENTI,EXECUTIVE,102,CLEMENTI ST 14,01 TO 03,152.0,Maisonette,1984,890000.0,2015,5,2,1,3,2,EXECUTIVE Maisonette,"102, CLEMENTI ST 14",1636.128,37,4,1984,Y,N,N,N,N,8,0,0,0,0,0,8,0,0,0,0,0,0,120102,1.322285572,103.7692019,Clementi,910.6103976,,1.0,3.0,896.0692936,,1.0,4.0,18,96,897.3482602548722,Clementi,1,0,1.315405642,103.7649827,193.97032288029,Blk 109,1.32178500189496,103.7708733985914,705.9849525619131,Pei Tong Primary School,84,0,1.316148017,103.7675763,1095.6923890405812,Clementi Town Secondary School,231,0,1.315474974,103.7620787
1258,146002,2021-03,BISHAN,EXECUTIVE,446,BRIGHT HILL DR,07 TO 09,243.0,Maisonette,1990,1092888.0,2021,3,8,7,9,8,EXECUTIVE Maisonette,"446, BRIGHT HILL DR",2615.652,31,10,1988,Y,N,N,N,N,64,0,0,0,44,14,6,0,0,0,0,0,0,570446,1.357871535,103.8323139,Bishan,450.1180634,1.0,1.0,2.0,850.3238332,,1.0,5.0,31,51,1405.4129520759204,Marymount,0,0,1.3478730819999998,103.8400478,272.5032508707233,Blk 454,1.35929833296604,103.8303208330076,329.6186677267977,Ai Tong School,30,0,1.360736365,103.8330757,956.557404271016,Peirce Secondary School,208,0,1.366131676,103.8299104
1293,184961,2020-06,HOUGANG,EXECUTIVE,430,HOUGANG AVE 6,10 TO 12,149.0,Maisonette,1989,785000.0,2020,6,11,10,12,11,EXECUTIVE Maisonette,"430, HOUGANG AVE 6",1603.836,32,17,1988,Y,N,N,N,N,44,0,0,0,0,0,44,0,0,0,0,0,0,530430,1.375321062,103.8932611,Hougang,323.0608329,1.0,3.0,8.0,1148.592145,,,2.0,40,0,375.5133511169262,Hougang,1,0,1.371956795,103.8929672,97.06549633027734,Punggol CC,1.37468500843171,103.8926630612946,360.60854123982017,Punggol Primary School,64,0,1.378200623,103.8947533,512.4414990819625,Montfort Secondary School,204,0,1.373950678,103.8888598
1323,124085,2013-01,KALLANG/WHAMPOA,5 ROOM,2D,UPP BOON KENG RD,10 TO 12,110.0,Improved,2006,865000.0,2013,1,11,10,12,11,5 ROOM Improved,"2D, UPP BOON KENG RD",1184.04,15,27,2006,Y,N,N,N,N,182,0,0,0,132,50,0,0,0,0,0,0,0,384002,1.313079277,103.8723802,Kallang,992.4662382,,1.0,8.0,235.5454963,1.0,3.0,12.0,84,60,185.72035502091143,Kallang,0,0,1.311540483,103.8717306,107.20262521496264,Opp Kallang Stn/Blk 2C,1.31324473748019,103.871430158598,1235.2392319947537,Geylang Methodist School,78,1,1.317658971,103.8825037,1235.2392319947537,Geylang Methodist School,224,0,1.317658971,103.8825037
